74. One Voice Conference, 07 May, 2020, London,United Kingdom,Paid,https://www.onevoiceconference.com/
75. Voice of Healthcare Summit, 05 August, 2020, Boston,USA,Paid,https://www.vohsummit.com/
76. Frontend Developer Love, 05 August, 2020, Amsterdam, Netherlands,Paid,https://frontenddeveloperlove.com/
77. JSConf Mexico, 04 May, 2020, Mexico city, Mexico,Paid,https://jsconf.mx/
78. Smart Commerce 2020, 29 January, 2020, kattilahalli ,  Helsinki,Paid,https://www.smartcommercenordic.com/
79. Business of BOTS, 05 February, 2020, San francisco ,  USA,Paid,https://businessofbots.com/
80. Alexa Community Day, 08 February, 2020, Bangalore ,  India,Paid,https://www.alexacommunity.in/
81. Byteconf GraphQL 2020, 31 January, 2020,  ,  ,Paid,https://www.bytesized.xyz/graphql-2020
82. The Global Women in Data Science Hyderabad, 15 February, 2020, Hyderabad ,  India,Paid,http://widshyderabad2019.com/
83. collision, 22 June, 2020, Toronto ,   Canada,Paid,https://collisionconf.com/
84. ng-India, 29 February, 2020, Delhi ,   India,Paid,https://www.ng-ind.com/
85. Serverless Architecture Conference, 20 April, 2020, The Hague , Netherlands,Paid,https://serverless-architecture.io/
86. Voxxed Days Singapore 2020, 05 June, 2020,  , Singapore,Paid,https://voxxeddays.com/singapore/
87. SuperBot 2020, 31 March, 2020, San Francisco , USA,Paid,https://www.dashbot.io/superbot/sb2020/register
88. DSConf 2020, 01 Feb, 2020,Pune, India,Paid,https://dsconf.in/
89. Doppa 2020, 27 June, 2020,Bangalore, India,Paid,https://doppa2020.devopsppalliance.org/
90. Google Cloud Next, 06 April, 2020,San francisco, USA,Paid,http://g.co/cloudnext
91. AWS Summit Mumbai, 08 April, 2020,  Mumbai , India,Paid,https://aws.amazon.com/events/summits/mumbai/
92. AWS Summit Mumbai, 08 April, 2020,  Mumbai , India,Paid,https://aws.amazon.com/events/summits/mumbai/
93. IUI 2020, 17 March, 2020,  Cagliari ,  Italy,Paid,http://iui.acm.org/2020/
94. Security Architecture Conference, 21 February, 2020,Bangalore,India,Paid,https://www.sacon.io/
95. HashiConf US, 13 October, 2020,San Diego,USA,Paid,https://hashiconf.com/us/
96. HashiConf EU, 08 June, 2020,Amsterdam,Netherlands,Paid,https://hashiconf.com/eu/
97. HashiDays , 06 April, 2020,Sydney NSW, Australia,Paid,https://hashidays.com/
98. Scrum Day Chennai , 25 July, 2020,Chennai, India,Paid,http://www.scrumdaychennai.com/
99. JuliaCon 2020 , 27 July, 2020,Lisbon,Portugal,Paid,https://juliacon.org/2020/
100. REFACTOR 2020: Serverless , 22 May, 2020,Toronto, Canada,Paid,https://refactorconf.com/2020/serverless/
